t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_fs,c_cm_split,latest_read_ratio,latest_window_gib,latest_window_ms,latest_window_offset_gib,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,evicted_mib,rounds,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
58,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2747271,0,119.918,0,0,0,0,0,6485787,62179.1,7134.73,29.2372,13.5438,18605.7,0.114745,119.918,3.34194,0,latest,0,14190457,0,0,0,0,0
59,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2752924,0,119.918,0,0,0,0,0,4996095,80708.2,8421.11,33.4476,15.8204,24151,0.10434,119.918,3.34181,0,latest,0,14205461,0,0,0,0,0
0,120,1,1,4,6,101,50,0.8,0,0,0,1,1000,0.1,53.0292,100,0,0,0,0,0,0,0,0,45.8551,0,0,2750335,0,2.55066,0,0,0,3475321,0,338,2397.9,1250.97,60.8669,10.8905,3048.44,0.521695,2.55066,0.786598,0,latest,0,2,683343,0,0,0,0
1,120,1,1,4,6,101,50,0.8,0,0,0,1,1000,0.1,53.0292,100,0,0,0,0,0,0,0,0,45.8551,0,0,2738390,0,119.415,0,0,0,0,0,6633032,58465.1,8206.9,30.6371,14.0361,18117.6,0.140373,119.415,3.22698,0,latest,0,13851710,0,0,0,0,0
2,120,1,1,4,6,101,50,0.8,0,0,0,1,1000,0.1,53.0292,100,0,0,0,0,0,0,0,0,45.8551,0,0,2745100,0,119.918,0,0,0,0,0,5036187,79771.5,10429.8,37.034,15.9783,23952.5,0.130746,119.918,3.3304,0,latest,0,13934195,0,0,0,0,0
3,120,1,1,4,6,101,50,0.8,0,0,0,1,1000,0.1,53.0292,100,0,0,0,0,0,0,0,0,45.8551,0,0,2750638,0,119.929,0,0,0,0,0,5914960,68099,9301.85,32.2256,14.619,20397.3,0.136593,119.929,3.33863,0,latest,0,13960832,0,0,0,0,0
4,120,1,1,4,6,101,50,0.8,0,0,0,1,1000,0.1,53.0292,100,0,0,0,0,0,0,0,0,45.8551,0,0,2741286,0,119.92,0,0,0,0,0,4832718,83429,10912.9,34.9018,16.2929,24964.5,0.130805,119.92,3.34191,0,latest,0,14005434,0,0,0,0,0
5,120,1,1,4,6,101,50,0.8,0,0,0,1,1000,0.1,53.0292,100,0,0,0,0,0,0,0,0,45.8551,0,0,2763601,0,119.924,0,0,0,0,0,4838589,83759.1,10970.6,34.5767,16.5017,25056.9,0.130978,119.924,3.34276,0,latest,0,14023802,0,0,0,0,0
6,120,1,1,4,6,101,50,0.8,0,0,0,1,1000,0.1,53.0292,100,0,0,0,0,0,0,0,0,45.8551,0,0,2765212,0,119.927,0,0,0,0,0,6473989,62293.1,8470.25,30.455,14.0056,18634.1,0.135974,119.927,3.34297,0,latest,0,14086328,0,0,0,0,0
7,120,1,1,4,6,101,50,0.8,0,0,0,1,1000,0.1,53.0292,100,0,0,0,0,0,0,0,0,45.8551,0,0,2764695,0,119.917,0,0,0,0,0,4919031,82015,10845.1,33.7127,16.0089,24535.8,0.132233,119.917,3.34267,0,latest,0,14083467,0,0,0,0,0
8,120,1,1,4,6,101,50,0.8,0,0,0,1,1000,0.1,53.0292,100,0,0,0,0,0,0,0,0,45.8551,0,0,2752856,0,119.925,0,0,0,0,0,4859446,83017.1,10937.3,34.1382,16.2163,24836.3,0.131748,119.925,3.34258,0,latest,0,14087617,0,0,0,0,0
9,120,1,1,4,6,101,50,0.8,0,0,0,1,1000,0.1,53.0292,100,0,0,0,0,0,0,0,0,45.8551,0,0,2746165,0,119.919,0,0,0,0,0,5824057,69261.6,9487.93,31.7954,14.6211,20715.7,0.136987,119.919,3.34344,0,latest,0,14038435,0,0,0,0,0
