t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_fs,c_cm_split,latest_read_ratio,latest_window_gib,latest_window_ms,latest_window_offset_gib,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,evicted_mib,rounds,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
54,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,17.9967,9.80707,72.1962,35.1519,2.50832,0.54217,38644,8121,8121,1.00708,1.63304,110.089,2665723,8307,117.516,31.1368,419,110.104,0,110.089,10774500,36423.2,4871.63,26.1968,11.5057,10972.2,0.133751,117.516,3.31958,0,latest,7056,13334602,0,0,0,0,0
55,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,17.8127,9.76129,72.426,35.2073,2.11902,0.451424,37432,7678,7678,1.00708,1.63226,106.952,2683891,7686,117.637,31.512,402,106.984,0,106.952,10203407,38504.6,4891.54,26.3816,12.054,11595.5,0.127038,117.637,3.32066,0,latest,6855,13497145,0,0,0,0,0
56,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,15.6666,10.457,73.8764,35.9304,1.72877,0.335948,32024,6618,6618,1.00708,1.52006,101.695,2899868,6566,117.75,31.9577,367,101.695,0,101.695,9445396,41636.9,5154.78,27.2218,12.4416,12541.6,0.123803,117.75,3.31989,0,latest,6518,13536788,0,0,0,0,0
57,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,17.4587,10.3237,72.2176,34.3994,1.91233,0.412335,37117,7189,7189,1.00708,1.53596,102.771,2698126,7569,117.787,31.8074,510,102.787,0,102.771,9163790,42958.2,5338.36,27.0856,12.4446,12934,0.124269,117.787,3.32133,0,latest,6587,13733930,0,0,0,0,0
58,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,16.1604,10.3487,73.4908,36.1018,1.92089,0.389229,35329,7031,7031,1.00708,1.46168,106.079,2984471,7098,117.569,31.5402,421,106.094,0,106.079,11196728,35038.8,4579.28,25.6678,11.4167,10560.9,0.130692,117.569,3.31777,0,latest,6799,13424974,0,0,0,0,0
59,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,15.3806,9.57296,75.0464,37.7612,1.7221,0.36298,36474,7493,7493,1.00708,1.43525,105.299,3064371,7477,117.479,31.4019,377,105.314,0,105.299,10927700,35888,4650.97,25.6819,11.5288,10817.5,0.129597,117.479,3.31758,0,latest,6749,13326498,0,0,0,0,0
0,120,1,1,4,6,10,50,0.75,0,0,0,1,5000,0.1,53.0311,22.8266,14.3426,62.8308,9.53471,2.06613,0.136404,12051720,36325,36325,1.00692,0.336743,44409,736964,2848906,1.7834,48.7018,422982,44409.1,3475443,0.0156021,1,955080,327125,16748,2513,652586,0.342511,1.7834,1.46353,0,latest,1,0,95856604,0,0,0,0
1,120,1,1,4,6,10,50,0.75,0,0,0,1,5000,0.1,53.0311,14.6006,9.58992,75.8095,39.2646,2.38056,0.193336,319881,22682,22682,1.00708,0.644217,1057.23,1768702,70610,96.7377,31.9487,3585,1057.42,0,1057.28,9687079,30830.7,5537.43,30.7974,11.1139,10045,0.179608,96.7377,3.06926,0,latest,67765,9471530,0,0,0,0,0
2,120,1,1,4,6,10,50,0.75,0,0,0,1,5000,0.1,53.0311,100,0,0,0,0,0,0,0,0,1.00708,0.644217,0,2745456,0,119.924,0,0,0,0,0,13131517,30622.3,5374.82,24.085,10.741,9185.74,0.17552,119.924,3.33368,0,latest,0,12934383,0,0,0,0,0
3,120,1,1,4,6,10,50,0.75,0,0,0,1,5000,0.1,53.0311,100,0,0,0,0,0,0,0,0,1.00708,0.644217,0,2742818,0,119.921,0,0,0,0,0,13213601,30511,5360.67,24.0756,10.7412,9128.14,0.175696,119.921,3.34252,0,latest,0,12973883,0,0,0,0,0
