t,name,c_hash,cycle,cycle-kernel,instr,L1-miss,LLC-miss,br-miss,task,IPC,CPU,GHz
20,merge,9056254927689675874,4220544786.28,5599008.17,2633201751.26,34521517.44,19217857.71,24898141.58,1000201074.00,0.62,1.00,4.22
21,merge,9056254927689675874,4270926418.34,5586613.45,2696001364.40,35363990.50,19284685.91,25531454.43,1006911545.00,0.63,1.00,4.24
22,merge,9056254927689675874,4222540152.85,6152394.50,2676911946.06,35085960.07,19156774.72,25342661.99,1000219980.00,0.63,1.00,4.22
23,merge,9056254927689675874,4232000340.95,5914664.60,2675066319.63,35091467.23,18867344.04,25340022.25,1000173371.00,0.63,1.00,4.23
24,merge,9056254927689675874,4226075283.24,5542632.46,2677515654.98,35127325.11,19013620.08,25333994.26,1000245735.00,0.63,1.00,4.23
25,merge,9056254927689675874,4239383098.27,5545088.51,2679874484.67,35132816.40,19085233.23,25341815.71,1000184045.00,0.63,1.00,4.24
26,merge,9056254927689675874,4242768309.35,5740566.49,2645085668.59,34690608.66,19305828.29,25051200.07,1006881125.00,0.62,1.00,4.21
27,merge,9056254927689675874,4233901371.22,5597643.53,2675357953.96,35121853.87,19169874.29,25330314.93,1000226372.00,0.63,1.00,4.23
28,merge,9056254927689675874,4239809591.65,5376092.79,2680098457.98,35145244.16,19147069.26,25396961.26,1000217374.00,0.63,1.00,4.24
29,merge,9056254927689675874,4236013319.33,5487130.85,2677032841.98,35101680.44,19171067.16,25346542.56,1000195782.00,0.63,1.00,4.24
30,merge,9056254927689675874,4236675444.23,5592572.63,2675984035.95,35113956.24,19229559.74,25314317.93,1000218717.00,0.63,1.00,4.24
31,merge,9056254927689675874,4250036301.58,5593315.13,2690155102.20,35283489.77,18990714.66,25452964.44,1006939541.00,0.63,1.00,4.22
32,merge,9056254927689675874,4224075166.90,5618550.25,2627091758.30,34474106.97,19078927.39,24885991.45,1000193515.00,0.62,1.00,4.22
33,merge,9056254927689675874,3706240000.21,7971160.56,2367211534.18,31009179.92,16771997.00,21927891.45,875367255.00,0.64,0.88,4.23
